text,label
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin2 rw_bin1 rx_bin2 rwc_bin1 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin2 rw_bin1 rx_bin2 rwc_bin1 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin0 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin2 rwxc_bin3 family_Zeppelin category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin0 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin0 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin2 rwx_bin2 rwxc_bin3 family_Zeppelin category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin2 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin2 rwx_bin2 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin2 rwx_bin2 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin3 family_Zeppelin category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin0 rwx_bin0 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Zeppelin category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin1 rwx_bin2 rwxc_bin0 family_GandCrab.exe category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin2 rwx_bin3 rwxc_bin3 family_jigsaw category_Ransomware,1
r_bin2 rw_bin2 rx_bin1 rwc_bin3 rwx_bin3 rwxc_bin3 family_jigsaw category_Ransomware,1
r_bin2 rw_bin2 rx_bin1 rwc_bin3 rwx_bin3 rwxc_bin3 family_EternalRocks category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin3 rwxc_bin0 family_BlackRose category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin3 rw_bin3 rx_bin3 rwc_bin3 rwx_bin3 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin2 rw_bin1 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin2 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin1 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin0 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin0 rwx_bin3 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin3 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin2 rw_bin1 rx_bin2 rwc_bin2 rwx_bin3 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin2 rw_bin1 rx_bin1 rwc_bin1 rwx_bin3 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Exorcist category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin0 rwx_bin3 rwxc_bin0 family_NotPetya category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin2 rwxc_bin0 family_NotPetya category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin2 rwxc_bin0 family_EKANS category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Babuk category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Babuk category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Babuk category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Babuk category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Babuk category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Babuk category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Babuk category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Babuk category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin2 rwxc_bin0 family_GandCrab category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_GandCrab category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin2 rwxc_bin0 family_GandCrab category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_GandCrab category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin0 rw_bin0 rx_bin1 rwc_bin0 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin3 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin2 rw_bin3 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin1 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin0 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin1 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin1 rw_bin1 rx_bin1 rwc_bin1 rwx_bin1 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin2 rw_bin2 rx_bin2 rwc_bin1 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin2 rw_bin1 rx_bin1 rwc_bin1 rwx_bin2 rwxc_bin0 family_Katyusha category_Ransomware,1
r_bin0 rw_bin1 rx_bin0 rwc_bin1 rwx_bin1 rwxc_bin0 family_Maoloa category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin0 rwx_bin3 rwxc_bin0 family_Encrpt3d category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin0 rwx_bin3 rwxc_bin3 family_HANTA category_Ransomware,1
r_bin0 rw_bin0 rx_bin0 rwc_bin0 rwx_bin3 rwxc_bin3 family_HANTA category_Ransomware,1
